dt,timestamp,temp,feels_like,humidity,pressure,wind_speed,weather,clouds,visibility
1751433070,2025-07-02 05:11:10,31.94,36.07,57,1005,3.01,阴，多云,98,10000
1751433561,2025-07-02 05:19:21,32.94,38.33,57,1005,3.01,阴，多云,98,10000
1751437935,2025-07-02 06:32:15,31.94,34.02,49,1003,3.49,阴，多云,98,10000
1751440580,2025-07-02 07:16:20,32.94,36.17,50,1004,3.49,阴，多云,98,10000
1751444732,2025-07-02 08:25:32,31.94,35.25,54,1004,3.28,中雨,66,10000
1751448200,2025-07-02 09:23:20,31.94,36.64,59,1003,3.32,中雨,77,10000
1751451769,2025-07-02 10:22:49,29.94,33.54,64,1003,3.6,多云,82,10000
1751455096,2025-07-02 11:18:16,28.94,32.6,70,1003,2.21,阴，多云,87,10000
1751460168,2025-07-02 12:42:48,28.94,33.35,74,1004,1.67,阴，多云,93,10000
1751462985,2025-07-02 13:29:45,26.94,29.61,80,1004,1.67,阴，多云,93,10000
1751465762,2025-07-02 14:16:02,25.94,26.73,82,1004,1.96,中雨,97,4464
1751469587,2025-07-02 15:19:47,25.94,26.78,84,1004,2.16,小雨,99,10000
1751473412,2025-07-02 16:23:32,25.94,26.89,88,1004,1.61,阴，多云,99,10000
1751476748,2025-07-02 17:19:08,25.94,26.94,90,1003,2.01,阴，多云,99,N/A
1751480983,2025-07-02 18:29:43,25.94,26.97,91,1003,2.94,阴，多云,100,9576
1751483531,2025-07-02 19:12:11,25.94,26.97,91,1002,2.37,阴，多云,100,10000
1751487415,2025-07-02 20:16:55,25.94,26.97,91,1003,2.68,小雨,100,5616
1751491182,2025-07-02 21:19:42,25.94,27.04,94,1002,2.45,阴，多云,100,4198
1751494615,2025-07-02 22:16:55,24.94,25.94,94,1003,1.45,小雨,100,8863
1751498385,2025-07-02 23:19:45,24.94,26.05,98,1003,1.2,阴，多云,100,10000
1751506938,2025-07-03 01:42:18,25.94,26.94,90,1002,1.49,阴，多云,98,10000
1751512637,2025-07-03 03:17:17,26.94,30.36,88,1002,1.97,阴，多云,99,10000
1751517163,2025-07-03 04:32:43,27.94,32.41,83,1001,2.44,阴，多云,99,10000
1751520260,2025-07-03 05:24:20,27.94,32.41,83,1001,2.44,小雨,99,10000
1751524203,2025-07-03 06:30:03,26.94,30.46,89,1001,1.57,中雨,100,10000
